Data,Cliques,Impressões,CTR,Posição
2026-05-01,1,2,50%,25.5
2026-05-02,1,6,16.67%,3
2026-05-03,0,3,0%,7
2026-05-04,3,15,20%,26.3
2026-05-05,6,89,6.74%,25
2026-05-06,4,72,5.56%,33.1
2026-05-07,2,41,4.88%,31.7
2026-05-08,3,48,6.25%,39.4
2026-05-09,1,27,3.7%,56.4
2026-05-10,1,31,3.23%,18.3
2026-05-11,4,72,5.56%,40.8
2026-05-12,4,67,5.97%,26.1
2026-05-13,1,51,1.96%,24.9
2026-05-14,6,71,8.45%,27.1
2026-05-15,5,57,8.77%,29.9
2026-05-16,2,34,5.88%,25.7
2026-05-17,4,26,15.38%,42.5
2026-05-18,5,72,6.94%,21.5
2026-05-19,3,49,6.12%,22.7
2026-05-20,4,57,7.02%,15.6
2026-05-21,3,41,7.32%,29
2026-05-22,3,45,6.67%,22.5
2026-05-23,1,17,5.88%,30.1
2026-05-24,2,31,6.45%,48.4
2026-05-25,10,65,15.38%,22.2
2026-05-26,4,58,6.9%,18.3
2026-05-27,9,58,15.52%,26.9
2026-05-28,4,54,7.41%,20.4
